#{"t_start": 1700953977.7692738, "env_id": "multigrid-mapf-v0"}
r,l,t
0.6,1000,13.364091
0.2,1000,24.395139
0.2,1000,34.951408
0.0,1000,54.186046
1.0,1000,65.94096
1.0,1000,78.468134
1.8,1000,98.422471
3.4,1000,110.169725
3.2,1000,121.052739
5.0,1000,140.406144
14.2,1000,151.803491
85.8,1000,163.891541
174.6,1000,184.206443
192.8,1000,195.104988
199.0,1000,205.78641
204.4,1000,225.260874
221.8,1000,237.206151
318.2,1000,249.129043
385.0,1000,269.071208
393.4,1000,280.05438
395.2,1000,291.384859
398.2,1000,310.326573
399.4,1000,321.660123
400.0,1000,333.65727
399.6,1000,345.326583
399.6,1000,365.587763
399.6,1000,376.380531
400.0,1000,387.50569
399.4,1000,408.13422
399.6,1000,420.652578
399.8,1000,431.834578
400.4,1000,451.353662
401.4,1000,462.481869
400.0,1000,473.759768
400.6,1000,493.277562
400.4,1000,505.463119
400.0,1000,516.626795
402.0,1000,536.884871
402.2,1000,547.96908
403.6,1000,558.791589
408.0,1000,578.556659
429.6,1000,591.407035
526.8,1000,602.87955
598.2,1000,622.403998
761.2,1000,633.401618
793.2,1000,644.510252
794.4,1000,664.817368
795.6,1000,676.765001
796.8,1000,688.326021
796.4,1000,699.758193
796.8,1000,719.569548
797.0,1000,730.447455
794.8,1000,741.331488
799.0,1000,761.510318
799.6,1000,773.618922
796.4,1000,785.148994
799.4,1000,804.424919
797.4,1000,815.405689
798.6,1000,826.438252
802.2,1000,847.801839
801.6,1000,859.446154
805.6,1000,871.140035
